school,post_date,post_title,post_url,views_on_post_day,avg_views_3_days_before,avg_views_3_days_after,view_change_after_post,view_change_after_post_pct,views_increased_after_post,month
CHHS,2026-05-15,SWIMMING SUCCESS!,https://schools.edu.ky/chhs/swimming-success/,21.0,47.67,21.33,-26.33,-55.24,False,2026-01-01_to_2026-05-30
CIFEC,2026-05-27,Earth Day Volunteers!,https://schools.edu.ky/cifec/earth-day-volunteers/,26.0,8.0,3.0,-5.0,-62.5,False,2026-01-01_to_2026-05-30
EEPS,2026-05-15,345 Day 2026,https://schools.edu.ky/eeps/345-day-2026/,3.0,12.0,1.5,-10.5,-87.5,False,2026-01-01_to_2026-05-30
EMPS,2026-05-15,345 Day at Edna Moyle Primary School,https://schools.edu.ky/emmps/345-day-at-edna-moyle-primary-school/,6.0,6.33,1.5,-4.83,-76.32,False,2026-01-01_to_2026-05-30
JACPS,2026-05-22,SJACPS Unveils New Sensory Garden,https://schools.edu.ky/jacps/sjacps-unveils-new-sensory-garden/,2.0,6.67,6.67,0.0,0.0,False,2026-01-01_to_2026-05-30
JCPS,2026-05-07,Joanna Clarke at Batabano 2026,https://schools.edu.ky/jcps/joanna-clarke-at-batabano-2026/,9.0,10.33,2.5,-7.83,-75.81,False,2026-01-01_to_2026-05-30
JGHS,2026-05-28,Girls Cricket Success!,https://schools.edu.ky/jghs/girls-cricket-success/,12.0,29.0,,,,False,2026-01-01_to_2026-05-30
LHSS,2026-05-27,NCFA Success!,https://schools.edu.ky/lhs/ncfa-success/,9.0,6.0,4.0,-2.0,-33.33,False,2026-01-01_to_2026-05-30
LSHS,2026-05-07,Proud Moments for Layman E. Scott Sr. High School!,https://schools.edu.ky/lshs/proud-moments-for-layman-e-scott-sr-high-school/,,,,,,False,2026-01-01_to_2026-05-30
RBPS,2026-05-21,RBPS Reception Child Month Tea Party,https://schools.edu.ky/rbps/child-month-tea-party-2/,18.0,21.33,11.67,-9.67,-45.31,False,2026-01-01_to_2026-05-30
SBPS,2026-05-27,Swimming Success!,https://schools.edu.ky/csbs/swimming-success/,4.0,7.5,2.0,-5.5,-73.33,False,2026-01-01_to_2026-05-30
TMPS,2026-05-15,NCFA Success 2026,https://schools.edu.ky/tmps/ncfa-success-2026/,13.0,13.33,4.0,-9.33,-70.0,False,2026-01-01_to_2026-05-30
WEPS,2026-05-27,Girls celebrate!,https://schools.edu.ky/weps/girls-celebrate/,4.0,13.5,1.0,-12.5,-92.59,False,2026-01-01_to_2026-05-30
